"orgs_short","Freq"
"Bacillus sp. ES3",1
"Bacillus sp. F56",1
"Bacillus sp. FDAARGOS_235",1
"Bacillus sp. FJAT-14266",1
"Bacillus sp. FJAT-14578",1
"Bacillus sp. FJAT-18017",1
"Bacillus sp. FJAT-18019",1
"Bacillus sp. FJAT-20673",1
"Bacillus sp. FJAT-21351",1
"Bacillus sp. FJAT-21352",1
"Bacillus sp. FJAT-21945",1
"Bacillus sp. FJAT-21955",1
"Bacillus sp. FJAT-22058",1
"Bacillus sp. FJAT-22090",1
"Bacillus sp. FJAT-25496",1
"Bacillus sp. FJAT-25509",1
"Bacillus sp. FJAT-26390",1
"Bacillus sp. FJAT-26652",1
"Bacillus sp. FJAT-27225",1
"Bacillus sp. FJAT-27231",1
"Bacillus sp. FJAT-27238",1
"Bacillus sp. FJAT-27245",1
"Bacillus sp. FJAT-27251",1
"Bacillus sp. FJAT-27264",1
"Bacillus sp. FJAT-27445",1
"Bacillus sp. FJAT-27916",1
"Bacillus sp. FJAT-27986",1
"Bacillus sp. FJAT-28004",1
"Bacillus sp. FJAT-28573",1
"Bacillus sp. FJAT-29814",1
"Bacillus sp. FJAT-29937",1
"Bacillus sp. FJAT-4402",1
"Bacillus sp. FJAT-44876",1
"Bacillus sp. FJAT-44921",1
"Bacillus sp. FJAT-45066",1
"Bacillus sp. FJAT-45347",1
"Bacillus sp. FJAT-45350",1
"Bacillus sp. FMQ74",1
"Bacillus sp. G1(2015b)",1
"Bacillus sp. G3(2015)",1
"Bacillus sp. GeD10",1
"Bacillus sp. genome",1
"Bacillus sp. GZB",1
"Bacillus sp. GZT",1
"Bacillus sp. H15-1",1
"Bacillus sp. H1a",1
"Bacillus sp. H1m",1
"Bacillus sp. HMSC036E02",1
"Bacillus sp. HMSC76G11",1
"Bacillus sp. I-2",1
"Bacillus sp. IHB",1
"Bacillus sp. ISSFR-25F",1
"Bacillus sp. J13",1
"Bacillus sp. J33",1
"Bacillus sp. J37",1
"Bacillus sp. JCA",1
"Bacillus sp. JEM-1",1
"Bacillus sp. JFL15",1
"Bacillus sp. JH7",1
"Bacillus sp. JKS001846",1
"Bacillus sp. JS",1
"Bacillus sp. K2I17",1
"Bacillus sp. KbaB1",1
"Bacillus sp. KbaL1",1
"Bacillus sp. L_1B0_12",1
"Bacillus sp. L_1B0_5",1
"Bacillus sp. L_1B0_8",1
"Bacillus sp. L27",1
"Bacillus sp. Leaf13",1
"Bacillus sp. Leaf406",1
"Bacillus sp. Leaf49",1
"Bacillus sp. Leaf75",1
"Bacillus sp. LF1",1
"Bacillus sp. LK10",1
"Bacillus sp. LK2",1
"Bacillus sp. LK7",1
"Bacillus sp. LL01",1
"Bacillus sp. LM",1
"Bacillus sp. LYLB4",1
"Bacillus sp. M",1
"Bacillus sp. M13(2017)",1
"Bacillus sp. m3-13",1
"Bacillus sp. Marseille-P2366",1
"Bacillus sp. Marseille-P2384",1
"Bacillus sp. Marseille-P2600",1
"Bacillus sp. MB2021",1
"Bacillus sp. MB353a",1
"Bacillus sp. MB366",1
"Bacillus sp. MD-5",1
"Bacillus sp. MKU004",1
"Bacillus sp. MN5",1
"Bacillus sp. MRMR6",1
"Bacillus sp. MSP13",1
"Bacillus sp. MSP5.4",1
"Bacillus sp. N24",1
"Bacillus sp. N35-10-2",1
"Bacillus sp. N35-10-4",1
"Bacillus sp. NC2-31",1
"Bacillus sp. NH11B",1
"Bacillus sp. NH24A2",1
"Bacillus sp. nio-1130",1
"Bacillus sp. NRRL",1
"Bacillus sp. NSP2.1",1
"Bacillus sp. NSP22.2",1
"Bacillus sp. NSP9.1",1
"Bacillus sp. OG2",1
"Bacillus sp. OK048",1
"Bacillus sp. ok634",1
"Bacillus sp. OK838",1
"Bacillus sp. OV166",1
"Bacillus sp. OV194",1
"Bacillus sp. OV322",1
"Bacillus sp. OxB-1",1
"Bacillus sp. P003",1
"Bacillus sp. P14-1",1
"Bacillus sp. Pc3",1
"Bacillus sp. REN51N",1
"Bacillus sp. Root11",1
"Bacillus sp. Root131",1
"Bacillus sp. Root147",1
"Bacillus sp. Root239",1
"Bacillus sp. Root920",1
"Bacillus sp. RP1137",1
"Bacillus sp. RRD69",1
"Bacillus sp. RU27A",1
"Bacillus sp. RU2C",1
"Bacillus sp. ru9509.4",1
"Bacillus sp. RUPDJ",1
"Bacillus sp. RUTrin4",1
"Bacillus sp. RZ2MS9",1
"Bacillus sp. S1-R1J2-FB",1
"Bacillus sp. S1-R2T1-FB",1
"Bacillus sp. S1-R4H1-FB",1
"Bacillus sp. S1-R5C1-FB",1
"Bacillus sp. S2-R3J1-FB-BA1",1
"Bacillus sp. SA1-12",1
"Bacillus sp. SA5d-4",1
"Bacillus sp. SB47",1
"Bacillus sp. SB49",1
"Bacillus sp. SDLI1",1
"Bacillus sp. SG-1",1
"Bacillus sp. SGD-V-76",1
"Bacillus sp. SJS",1
"Bacillus sp. SM1",1
"Bacillus sp. Soil531",1
"Bacillus sp. Soil745",1
"Bacillus sp. Soil768D1",1
"Bacillus sp. TD41",1
"Bacillus sp. TD42",1
"Bacillus sp. TH007",1
"Bacillus sp. TH008",1
"Bacillus sp. TS-2",1
"Bacillus sp. UMTAT18",1
"Bacillus sp. UNC125MFCrub1.1",1
"Bacillus sp. UNC322MFChir4.1",1
"Bacillus sp. UNC41MFS5",1
"Bacillus sp. UNC437CL72CviS29",1
"Bacillus sp. UNC438CL73TsuS30",1
"Bacillus sp. UNC69MF",1
"Bacillus sp. UNCCL13",1
"Bacillus sp. UNCCL81",1
"Bacillus sp. URHB0009",1
"Bacillus sp. v-76",1
"Bacillus sp. V-88",1
"Bacillus sp. VT",1
"Bacillus sp. VT-16-64",1
"Bacillus sp. WBUNB001",1
"Bacillus sp. WBUNB004",1
"Bacillus sp. WBUNB009",1
"Bacillus sp. WP8",1
"Bacillus sp. X1(2014)",1
"Bacillus sp. X2(2017)",1
"Bacillus sp. YP1",1
"Bacillus sp. yr331",1
"Bacillus sporothermodurans",1
"Bacillus subterraneus",1
"Bacillus testis",1
"Bacillus thermotolerans",1
"Bacillus thermozeamaize",1
"Bacillus timonensis",1
"Bacillus tuaregi",1
"Bacillus wakoensis",1
"Bacillus wudalianchiensis",1
"Bacillus xerothermodurans",1
"Bacillus zhangzhouensis",1
"Bacteriodetes bacterium",1
"Bacterioplanes sanyensis",1
"Bacteriovorax sp. BAL6_X",1
"Bacteriovorax sp. BSW11_IV",1
"Bacteriovorax sp. DB6_IX",1
"Bacteriovorax sp. MedPE-SWde",1
"Bacteriovorax sp. Seq25_V",1
"bacterium 2013Arg42i",1
"Bacterium 2013Arg42i",1
"Bacterium 336/3",1
"Bacterium 42_11",1
"Bacterium A37T11",1
"Bacterium A52C2",1
"Bacterium AB1",1
"Bacterium AM6",1
"Bacterium B13(2017)",1
"Bacterium B17",1
"Bacterium BRH_c32",1
"Bacterium CG09_39_24",1
"Bacterium CG1_02_42_9",1
"Bacterium CG10_37_50",1
"Bacterium CG10_46_32",1
"Bacterium CG10_49_38",1
"Bacterium CG2_30_33_46",1
"Bacterium CG2_30_37_16",1
"Bacterium CG2_30_40_12",1
"Bacterium CG2_30_54_10",1
"Bacterium E08(2017)",1
"Bacterium EBM-40",1
"Bacterium EC214",1
"Bacterium EF100-94H03",1
"Bacterium F082",1
"Bacterium F083",1
"Bacterium F11",1
"Bacterium F16",1
"Bacterium G20",1
"Bacterium Ga0077546",1
"Bacterium GBS-1",1
"Bacterium I07",1
"Bacterium isolate",1
"Bacterium J17",1
"Bacterium JdFR-53",1
"Bacterium JdFR-65",1
"Bacterium JdFR-66",1
"Bacterium JdFR-67",1
"Bacterium JdFR-70",1
"bacterium JGI",1
"bacterium JGI-25",1
"Bacterium JKG1",1
"Bacterium K02(2017)",1
"Bacterium LF-3",1
"Bacterium M21",1
"Bacterium MS4",1
"Bacterium OL-1",1
"Bacterium OM1",1
"Bacterium P201",1
"Bacterium P3",1
"Bacterium SCGC",1
"Bacterium SIT5",1
"Bacterium SIT6",1
"Bacterium SM23_31",1
"Bacterium SM23_57",1
"Bacterium SPGG8",1
"Bacterium T1.1",1
"Bacterium T1.2",1
"Bacterium T2.1",1
"Bacterium TK85",1
"Bacterium TMED144",1
"Bacterium TMED15",1
"Bacterium TMED161",1
"Bacterium TMED178",1
"Bacterium TMED181",1
"Bacterium TMED190",1
"Bacterium TMED198",1
"Bacterium TMED217",1
"Bacterium TMED221",1
"Bacterium TMED250",1
"Bacterium TMED264",1
"Bacterium TMED274",1
"Bacterium TMED277",1
"Bacterium TMED46",1
"Bacterium TMED6",1
"Bacterium TMED80",1
"Bacterium TMED88",1
"Bacterium UASB14",1
"Bacterium UASB270",1
"Bacterium UW",1
"bacterium YEK0313",1
"Bacteroides caecimuris",1
"Bacteroides coprosuis",1
"Bacteroides fluxus",1
"Bacteroides helcogenes",1
"Bacteroides ihuae",1
"Bacteroides luti",1
"Bacteroides mediterraneensis",1
"Bacteroides neonati",1
"Bacteroides pectinophilus",1
"Bacteroides reticulotermitis",1
"Bacteroides rodentium",1
"Bacteroides salanitronis",1
"Bacteroides sp. 1_1_14",1
"Bacteroides sp. 1_1_30",1
"Bacteroides sp. 1_1_6",1
"Bacteroides sp. 14(A)",1
"Bacteroides sp. 2_1_16",1
"Bacteroides sp. 2_1_22",1
"Bacteroides sp. 2_1_33B",1
"Bacteroides sp. 2_1_56FAA",1
"Bacteroides sp. 2_2_4",1
"Bacteroides sp. 3_1_13",1
"Bacteroides sp. 3_1_19",1
"Bacteroides sp. 3_1_23",1
"Bacteroides sp. 3_1_33FAA",1
"Bacteroides sp. 3_1_40A",1
"Bacteroides sp. 3_2_5",1
"Bacteroides sp. 4_1_36",1
"Bacteroides sp. 4_3_47FAA",1
"Bacteroides sp. 41_26",1
"Bacteroides sp. 43_108",1
"Bacteroides sp. 43_46",1
"Bacteroides sp. 44_46",1
"Bacteroides sp. 9_1_42FAA",1
"Bacteroides sp. An19",1
"Bacteroides sp. An269",1
"Bacteroides sp. An279",1
"Bacteroides sp. An322",1
"Bacteroides sp. An51A",1
"Bacteroides sp. AR20",1
"Bacteroides sp. CAG-1060",1
"Bacteroides sp. CAG-1060_57_27",1
"Bacteroides sp. CAG-1076",1
"Bacteroides sp. CAG-144",1
"Bacteroides sp. CAG-189",1
"Bacteroides sp. CAG-20",1
"Bacteroides sp. CAG-443",1
"Bacteroides sp. CAG-462",1
"Bacteroides sp. CAG-530",1
"Bacteroides sp. CAG-545",1
"Bacteroides sp. CAG-598",1
"Bacteroides sp. CAG-633",1
"Bacteroides sp. CAG-661",1
"Bacteroides sp. CAG-702",1
"Bacteroides sp. CAG-709",1
"Bacteroides sp. CAG-714",1
"Bacteroides sp. CAG-754",1
"Bacteroides sp. CAG-770",1
"Bacteroides sp. CAG-875",1
"Bacteroides sp. CAG-927",1
"Bacteroides sp. CAG-98",1
"Bacteroides sp. D1",1
"Bacteroides sp. D2",1
"Bacteroides sp. D20",1
"Bacteroides sp. D22",1
"Bacteroides sp. Ga6A1",1
"Bacteroides sp. Ga6A2",1
"Bacteroides sp. HMSC067B03",1
"Bacteroides sp. HMSC068A09",1
"Bacteroides sp. HMSC073E02",1
"Bacteroides sp. HPS0048",1
"Bacteroides sp. Marseille-P2653",1
"Bacteroides sp. Marseille-P3108",1
"Bacteroides sp. Marseille-P3132",1
"Bacteroides sp. Marseille-P3166",1
"Bacteroides sp. Marseille-P3208T",1
"Bacteroides sp. N54.MGS-20",1
"Bacteroides sp. Phil13",1
"Bacteroides sp. SM1_62",1
"Bacteroides sp. SM23_62",1
"Bacteroides sp. SM23_62_1",1
"Bacteroides sp. UNK.MGS-13",1
"Bacteroides sp. UNK.MGS-14",1
"Bacteroides sp. UW",1
"Bacteroides timonensis",1
"Bacteroidetes oral",1
"Balneatrix alpica",1
"Balneola sp. EhC07",1
"Balneola vulgaris",1
"Bariatricus massiliensis",1
"Barnesiella intestinihominis",1
"Barnesiella sp. An22",1
"Barnesiella sp. An55",1
"Bartonella alsatica",1
"Bartonella ancashensis",1
"Bartonella australis",1
"Bartonella florencae",1
"Bartonella koehlerae",1
"Bartonella melophagi",1
"Bartonella queenslandensis",1
"Bartonella rattaustraliani",1
"Bartonella rattimassiliensis",1
"Bartonella rochalimae",1
"Bartonella senegalensis",1
"Bartonella sp. 114",1
"Bartonella sp. 11B",1
"Bartonella sp. A1379B",1
"Bartonella sp. AR",1
"Bartonella sp. CDC_skunk",1
"Bartonella sp. Coyote22sub2",1
"Bartonella sp. DB5-6",1
"Bartonella sp. JB15",1
"Bartonella sp. JB63",1
"Bartonella sp. Raccoon60",1
"Bartonella sp. WD12.1",1
"Bartonella sp. WD16.2",1
"Basilea psittacipulmonis",1
"Bathymodiolus platifrons",1
"Bathymodiolus thermophilus",1
"Bauldia litoralis",1
"Baumannia cicadellinicola",1
"Bavariicoccus seileri",1
"BD2-11 clade",1
"Bdellovibrio exovorus",1
"Bdellovibrio sp. 28-41-41",1
"Bdellovibrio sp. ArHS",1
"Bdellovibrio sp. SCN",1
"Bdellovibrio sp. SKB1291214",1
"Beduini massiliensis",1
"Beggiatoa alba",1
"Beggiatoa leptomitiformis",1
"Beggiatoa sp. 4572_84",1
"Beggiatoa sp. IS2",1
"Beggiatoa sp. PS",1
"Beggiatoa sp. SS",1
"Beijerinckia indica",1
"Beijerinckia mobilis",1
"Beijerinckia sp. 28-YEA-48",1
"Belliella baltica",1
"Belliella buryatensis",1
"Belliella pelovolcani",1
"Bellilinea caldifistulae",1
"Belnapia moabensis",1
"Belnapia sp. F-4-1",1
"Bergeriella denitrificans",1
"Bermanella marisrubri",1
"Bermanella sp. 47_1433_sub80_T6",1
"Bernardetia litoralis",1
"beta proteobacterium",1
"Beutenbergia cavernae",1
"Bhargavaea beijingensis",1
"Bhargavaea ginsengi",1
"Bifidobacteriales bacterium",1
"Bifidobacterium actinocoloniiforme",1
"Bifidobacterium aesculapii",1
"Bifidobacterium aquikefiri",1
"Bifidobacterium biavatii",1
"Bifidobacterium bombi",1
"Bifidobacterium callitrichos",1
"Bifidobacterium commune",1
"Bifidobacterium crudilactis",1
"Bifidobacterium eulemuris",1
"Bifidobacterium hapali",1
"Bifidobacterium lemurum",1
"Bifidobacterium mongoliense",1
"Bifidobacterium moukalabense",1
"Bifidobacterium myosotis",1
"Bifidobacterium reuteri",1
"Bifidobacterium saguini",1
"Bifidobacterium sp. 12_1_47BFAA",1
"Bifidobacterium sp. 56_9_plus",1
"Bifidobacterium sp. 70",1
"Bifidobacterium sp. 71",1
"Bifidobacterium sp. 7101",1
"Bifidobacterium sp. A11",1
"Bifidobacterium sp. AGR2158",1
"Bifidobacterium sp. MSTE12",1
"Bifidobacterium stellenboschense",1
"Bifidobacterium tissieri",1
"Bilophila sp. 4_1_30",1
"Bittarella massiliensis",1
"Bizionia argentinensis",1
"Bizionia echini",1
"Bizionia paragorgiae",1
"Bizionia psychrotolerans",1
"Bizionia sp. APA-3",1
"Blastococcus endophyticus",1
"Blastococcus saxobsidens",1
"Blastococcus sp. URHD0036",1
"Blastomonas sp. AAP25",1
"Blastomonas sp. AAP53",1
"Blastomonas sp. CACIA14H2",1
"Blastomonas sp. CCH1-A6",1
"Blastomonas sp. CCH10-E1",1
"Blastomonas sp. CCH11-A4",1
"Blastomonas sp. CCH13-A3",1
"Blastomonas sp. CCH13-E1",1
"Blastomonas sp. CCH15-G10",1
"Blastomonas sp. CCH2-A2",1
"Blastomonas sp. CCH2-E1",1
"Blastomonas sp. CCH3-A3",1
"Blastomonas sp. CCH3-E3",1
"Blastomonas sp. CCH4-D12",1
"Blastomonas sp. CCH5-A3",1
"Blastomonas sp. CCH5-E3",1
"Blastomonas sp. CCH6-A6",1
"Blastomonas sp. CCH7-E1",1
"Blastomonas sp. CCH8-A3",1
"Blastomonas sp. CCH8-E1",1
"Blastomonas sp. CCH9-A1",1
"Blastomonas sp. CCH9-F3",1
"Blastomonas sp. RAC04",1
"Blastopirellula marina",1
"Blattabacterium cuenoti",1
"Blattabacterium sp. (Blaberus",1
"Blattabacterium sp. (Blatta",1
"Blattabacterium sp. (Blattella",1
"Blattabacterium sp. (Cryptocercus",1
"Blattabacterium sp. (Mastotermes",1
"Blattabacterium sp. (Nauphoeta",1
"Blattabacterium sp. (Panesthia",1
"Blattabacterium sp. (Periplaneta",1
"Blautia coccoides",1
"Blautia hansenii",1
"Blautia schinkii",1
"Blautia sp. An249",1
"Blautia sp. An46",1
"Blautia sp. An81",1
"Blautia sp. CAG-237",1
"Blautia sp. CAG-257",1
"Blautia sp. CAG-37",1
"Blautia sp. CAG-37_48_57",1
"Blautia sp. CAG-52",1
"Blautia sp. GD8",1
"Blautia sp. KB1",1
"Blautia sp. KLE",1
"Blautia sp. Marseille-P2398",1
"Blautia sp. Marseille-P3087",1
"Blautia sp. Marseille-P3201T",1
"Blautia sp. SF-50",1
"Blautia sp. YL58",1
"Blochmannia floridanus",1
"Blood disease",1
"Bombella intestini",1
"Bombiscardovia coagulans",1
"Bordetella flabilis",1
"Bordetella holmseii",1
"Bordetella sp. FB-8",1
"Bordetella sp. H567",1
"Bordetella sp. N",1
"Borrelia hispanica",1
"Borrelia persica",1
"Borrelia recurrentis",1
"Borrelia turicatae",1
"Borrelia valaisiana",1
"Borreliella afzelii",1
"Borreliella bavariensis",1
"Borreliella chilensis",1
"Borreliella finlandensis",1
"Borreliella japonica",1
"Borreliella spielmanii",1
"Borreliella valaisiana",1
"Bosea lupini",1
"Bosea robiniae",1
"Bosea sp. 117",1
"Bosea sp. 12-68-7",1
"Bosea sp. 32-68-6",1
"Bosea sp. 67-29",1
"Bosea sp. AAP35",1
"Bosea sp. AS-1",1
"Bosea sp. BIWAKO-01",1
"Bosea sp. DSM",1
"Bosea sp. LC85",1
"Bosea sp. Leaf344",1
"Bosea sp. OK403",1
"Bosea sp. PAMC",1
"Bosea sp. RAC05",1
"Bosea sp. Root381",1
"Bosea sp. Root483D1",1
"Bosea sp. Root670",1
"Bosea sp. TND4EK4",1
"Bosea sp. UNC402CLCol",1
"Bosea sp. WAO",1
"Boseongicola aestuarii",1
"Brachybacterium faecium",1
"Brachybacterium massiliense",1
"Brachybacterium muris",1
"Brachybacterium nesterenkovii",1
"Brachybacterium paraconglomeratum",1
"Brachybacterium phenoliresistens",1
"Brachybacterium sp. HMSC06H03",1
"Brachybacterium sp. P6-10-X1",1
"Brachybacterium sp. sponge",1
"Brachybacterium sp. SW0106-09",1
"Brachybacterium sp. VR2415",1
"Brachybacterium squillarum",1
"Brachybacterium zhongshanense",1
"Brachymonas chironomi",1
"Brachymonas denitrificans",1
"Brachyspira alvinipulli",1
"Brachyspira innocens",1
"Brachyspira intermedia",1
"Brachyspira murdochii",1
"Brachyspira sp. CAG-484",1
"Brachyspira sp. CAG-700",1
"Brachyspira sp. G79",1
"Brachyspira suanatina",1
"Brackiella oedipodis",1
"Bradyrhizobium arachidis",1
"Bradyrhizobium embrapense",1
"Bradyrhizobium genosp.",1
"Bradyrhizobium icense",1
"Bradyrhizobium jicamae",1
"Bradyrhizobium lupini",1
"Bradyrhizobium manausense",1
"Bradyrhizobium mercantei",1
"Bradyrhizobium neotropicale",1
"Bradyrhizobium oligotrophicum",1
"Bradyrhizobium paxllaeri",1
"Bradyrhizobium retamae",1
"Bradyrhizobium sp. 17-4",1
"Bradyrhizobium sp. 35-63-5",1
"Bradyrhizobium sp. 39S1MB",1
"Bradyrhizobium sp. 85S1MB",1
"Bradyrhizobium sp. Ai1a-2",1
"Bradyrhizobium sp. ARR65",1
"Bradyrhizobium sp. AS23.2",1
"Bradyrhizobium sp. AT1",1
"Bradyrhizobium sp. BF49",1
"Bradyrhizobium sp. BR10280",1
"Bradyrhizobium sp. BTAi1",1
"Bradyrhizobium sp. CCGE-LA001",1
"Bradyrhizobium sp. CCH1-B1",1
"Bradyrhizobium sp. CCH10-C7",1
"Bradyrhizobium sp. CCH4-A6",1
"Bradyrhizobium sp. CCH5-A9",1
"Bradyrhizobium sp. CCH5-F6",1
"Bradyrhizobium sp. cf659",1
"Bradyrhizobium sp. Cp5.3",1
"Bradyrhizobium sp. DFCI-1",1
"Bradyrhizobium sp. DOA1",1
"Bradyrhizobium sp. DOA9",1
"Bradyrhizobium sp. Ec3.3",1
"Bradyrhizobium sp. err11",1
"Bradyrhizobium sp. G22",1
"Bradyrhizobium sp. Gha",1
"Bradyrhizobium sp. Ghvi",1
"Bradyrhizobium sp. Leaf396",1
"Bradyrhizobium sp. LMTR",1
"Bradyrhizobium sp. LTSP849",1
"Bradyrhizobium sp. LTSP857",1
"Bradyrhizobium sp. LTSP885",1
"Bradyrhizobium sp. LTSPM299",1
"Bradyrhizobium sp. NAS80.1",1
"Bradyrhizobium sp. NAS96.2",1
"Bradyrhizobium sp. NFR13",1
"Bradyrhizobium sp. OHSU_III",1
"Bradyrhizobium sp. OK095",1
"Bradyrhizobium sp. ORS278",1
"Bradyrhizobium sp. PARBB1",1
"Bradyrhizobium sp. R5",1
"Bradyrhizobium sp. Rc2d",1
"Bradyrhizobium sp. Rc3b",1
"Bradyrhizobium sp. S23321",1
"Bradyrhizobium sp. th.b2",1
"Bradyrhizobium sp. Tv2a-2",1
"Bradyrhizobium sp. UFLA",1
"Bradyrhizobium sp. UFLA03-84",1
"Bradyrhizobium sp. URHA0002",1
"Bradyrhizobium sp. URHA0013",1
"Bradyrhizobium sp. URHD0069",1
"Bradyrhizobium sp. USDA",1
"Bradyrhizobium sp. WSM1253",1
"Bradyrhizobium sp. WSM1417",1
"Bradyrhizobium sp. WSM1743",1
"Bradyrhizobium sp. WSM2254",1
"Bradyrhizobium sp. WSM2793",1
"Bradyrhizobium sp. WSM3983",1
"Bradyrhizobium sp. WSM4349",1
"Bradyrhizobium sp. WSM471",1
"Bradyrhizobium sp. YR681",1
"Bradyrhizobium stylosanthis",1
"Bradyrhizobium tropiciagri",1
"Bradyrhizobium viridifuturi",1
"Branchiibius sp. NY16-3462-2",1
"Brenneria sp. EniD312",1
"Brevibacillus choshinensis",1
"Brevibacillus massiliensis",1
"Brevibacillus panacihumi",1
"Brevibacillus parabrevis",1
"Brevibacillus reuszeri",1
"Brevibacillus sp. BC25",1
"Brevibacillus sp. CF112",1
"Brevibacillus sp. Leaf182",1
"Brevibacillus sp. OK042",1
"Brevibacillus sp. SKDU10",1
"Brevibacillus sp. WF146",1
"Brevibacterium album",1
"Brevibacterium epidermidis",1
"Brevibacterium mcbrellneri",1
"Brevibacterium sandarakinum",1
"Brevibacterium senegalense",1
"Brevibacterium siliguriense",1
"Brevibacterium sp. HMSC063G07",1
"Brevibacterium sp. HMSC07C04",1
"Brevibacterium sp. HMSC08F02",1
"Brevibacterium sp. HMSC22B09",1
"Brevibacterium sp. HMSC24B04",1
"Brevibacterium sp. JCM",1
"Brevibacterium sp. VCM10",1
"Brevibacterium yomogidense",1
"Brevinema andersonii",1
"Brevirhabdus pacifica",1
"Brevundimonas abyssalis",1
"Brevundimonas aveniformis",1
"Brevundimonas bacteroides",1
"Brevundimonas nasdae",1
"Brevundimonas sp. 12-68-7",1
"Brevundimonas sp. 32-68-21",1
"Brevundimonas sp. 374",1
"Brevundimonas sp. 67-6",1
"Brevundimonas sp. AAP58",1
"Brevundimonas sp. BAL3",1
"Brevundimonas sp. DS20",1
"Brevundimonas sp. EAKA",1
"Brevundimonas sp. GW460-12-10-14-LB2",1
"Brevundimonas sp. KM4",1
"Brevundimonas sp. Leaf168",1
"Brevundimonas sp. Leaf280",1
"Brevundimonas sp. Leaf363",1
"Brevundimonas sp. LM2",1
"Brevundimonas sp. Root1279",1
"Brevundimonas sp. Root1423",1
"Brevundimonas sp. Root608",1
"Brevundimonas sp. SH203",1
"Brevundimonas sp. ZS04",1
"Brevundimonas viscosa",1
"Brochothrix campestris",1
"Brucella inopinata",1
"Brucella microti",1
"Brucella neotomae",1
"Brucella sp. 04-5288",1
"Brucella sp. 09RB8471",1
"Brucella sp. 09RB8910",1
"Brucella sp. 141012304",1
"Brucella sp. 2002734562",1
"Brucella sp. 56/94",1
"Brucella sp. 63/311",1
"Brucella sp. 83/13",1
"Brucella sp. B13-0095",1
"Brucella sp. BO2",1
"Brucella sp. F23/97",1
"Brucella sp. F5/06",1
"Brucella sp. F5/99",1
"Brucella sp. F60",1
"Brucella sp. F8/99",1
"Brucella sp. F96/2",1
"Brucella sp. F965",1
"Brucella sp. NF",1
"Brucella sp. NVSL",1
"Brucella sp. UK1/97",1
"Brucella sp. UK38/05",1
"Brucella sp. UK40/99",1
"Brucella sp. UK5/01",1
"Bryobacter aggregatus",1
"Budvicia aquatica",1
"Bulleidia extructa",1
"Burkholderia arationis",1
"Burkholderia arvi",1
"Burkholderia calidae",1
"Burkholderia catudaia",1
"Burkholderia concitans",1
"Burkholderia fortuita",1
"Burkholderia fungorum",1
"Burkholderia glebae",1
"Burkholderia humptydooensis",1
"Burkholderia hypogeia",1
"Burkholderia kururiensis",1
"Burkholderia metallica",1
"Burkholderia paludis",1
"Burkholderia pedi",1
"Burkholderia peredens",1
"Burkholderia ptereochthonis",1
"Burkholderia rhizoxinica",1
"Burkholderia singularis",1
"Burkholderia sp. 2002721687",1
"Burkholderia sp. 9120",1
"Burkholderia sp. A1",1
"Burkholderia sp. A2",1
"Burkholderia sp. A27",1
"Burkholderia sp. A9",1
"Burkholderia sp. AD24",1
"Burkholderia sp. AU15512",1
"Burkholderia sp. AU16482",1
"Burkholderia sp. AU16741",1
"Burkholderia sp. AU17325",1
"Burkholderia sp. AU17457",1
"Burkholderia sp. AU18528",1
"Burkholderia sp. AU27893",1
"Burkholderia sp. AU28863",1
"Burkholderia sp. AU31280",1
"Burkholderia sp. AU31652",1
"Burkholderia sp. AU33423",1
"Burkholderia sp. AU33647",1
"Burkholderia sp. AU33803",1
"Burkholderia sp. AU4i",1
"Burkholderia sp. AU6039",1
"Burkholderia sp. b13",1
"Burkholderia sp. b14",1
"Burkholderia sp. BDU18",1
"Burkholderia sp. BDU19",1
"Burkholderia sp. BDU5",1
"Burkholderia sp. BDU6",1
"Burkholderia sp. BDU8",1
"Burkholderia sp. Bk",1
"Burkholderia sp. Bp5365",1
"Burkholderia sp. Bp7605",1
"Burkholderia sp. BT03",1
"Burkholderia sp. CAMPA",1
"Burkholderia sp. CCA53",1
"Burkholderia sp. CCGE1001",1
"Burkholderia sp. CCGE1002",1
"Burkholderia sp. CCGE1003",1
"Burkholderia sp. CF099",1
"Burkholderia sp. Ch1-1",1
"Burkholderia sp. CQ001",1
"Burkholderia sp. DNA89",1
"Burkholderia sp. E168m22",1
"Burkholderia sp. E7m39",1
"Burkholderia sp. E7m48",1
"Burkholderia sp. FL-7-2-10-S1-D7",1
"Burkholderia sp. GAS332",1
"Burkholderia sp. H160",1
"Burkholderia sp. HB1",1
"Burkholderia sp. HI2500",1
"Burkholderia sp. HI2714",1
"Burkholderia sp. HI2761",1
"Burkholderia sp. HI4860",1
"Burkholderia sp. HMSC10F09",1
"Burkholderia sp. IDO3",1
"Burkholderia sp. JPY251",1
"Burkholderia sp. JPY347",1
"Burkholderia sp. JPY366",1
"Burkholderia sp. JS23",1
"Burkholderia sp. K24",1
"Burkholderia sp. K4410.MGS-135",1
"Burkholderia sp. KJ006",1
"Burkholderia sp. KK1",1
"Burkholderia sp. LA-2-3-30-S1-D2",1
"Burkholderia sp. Leaf177",1
"Burkholderia sp. lig30",1
"Burkholderia sp. LK4",1
"Burkholderia sp. MR1",1
"Burkholderia sp. MSh2",1
"Burkholderia sp. MSHR3999",1
"Burkholderia sp. MSMB0265",1
"Burkholderia sp. MSMB0266",1
"Burkholderia sp. MSMB0852",1
"Burkholderia sp. MSMB0856",1
"Burkholderia sp. MSMB1072",1
